position_x,position_y,position_z
0.257089,-0.0183043,0.877259
0.252953,-0.0173215,0.872902
0.094683,0.0454555,0.898266
0.0950661,0.050226,0.898132
0.0983859,0.0497282,0.904333
0.095682,0.0444837,0.898461
0.0956411,0.0459164,0.900082
0.228824,0.0058305,0.850008
0.22855,0.00610679,0.849472
0.0866432,0.0235407,0.905289
0.0860595,0.0234587,0.903831
0.087012,0.0242572,0.906349
0.0870602,0.0232913,0.906502
0.0873571,0.0214932,0.905217
0.0864447,0.0218461,0.906157
0.0874334,0.0225315,0.903889
0.0869612,0.0222894,0.905363
0.0707478,-0.0513131,0.855815
0.0706598,-0.0510867,0.855976
0.071422,-0.0533724,0.854382
0.0690071,-0.0521486,0.854358
0.0686767,-0.0522062,0.852134
-0.0206876,-0.0340485,0.79495
-0.0207119,-0.0329735,0.793617
-0.0452924,-0.0131951,0.875406
-0.04473,-0.0126025,0.875645
-0.109848,-0.0626237,0.90644
-0.110018,-0.0631682,0.905617
-0.109957,-0.062557,0.905965
-0.109921,-0.0627735,0.905331
-0.153957,-0.063358,0.98037
-0.153561,-0.0632589,0.97886
-0.125827,-0.127449,1.0072
-0.125303,-0.126628,1.00842
-0.125238,-0.127386,1.00794
-0.125851,-0.127696,1.00681
-0.125856,-0.127824,1.00702
-0.125738,-0.128171,1.00664
-0.124794,-0.127224,1.0077
-0.124918,-0.127085,1.00678
0.0926989,-0.111188,0.988742
0.0928367,-0.111629,0.988247
0.0927837,-0.111583,0.989808
0.092735,-0.111055,0.988792
0.107728,-0.175525,0.890856
0.107861,-0.17554,0.892594
0.108111,-0.17533,0.892402
0.107676,-0.175459,0.891345
0.107296,-0.175357,0.892923
0.115049,-0.26608,0.827709
0.112315,-0.262511,0.825072
0.112681,-0.262243,0.824513
0.114571,-0.265069,0.827279
-0.13764,-0.231347,0.803084
-0.138249,-0.230787,0.801944
-0.239358,-0.0601645,0.806392
-0.239956,-0.0602027,0.80712
-0.239212,-0.0611325,0.809197
-0.23761,-0.061219,0.806913
-0.0544434,0.0256679,0.757852
-0.0549581,0.0249435,0.757961
-0.165142,-0.132453,0.850106
