baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
1.0412,0.0411347,0.181471,0.129098,-0.0140863,0.893986
1.10722,0.0867723,0.144303,0.170834,-0.0151964,0.96497
1.10736,0.0860295,0.143658,0.170712,-0.0144306,0.963921
1.10771,0.0850934,0.143387,0.170591,-0.0166292,0.966871
1.10816,0.0835521,0.143373,0.168565,-0.0155616,0.964275
1.10809,0.0837233,0.143027,0.169039,-0.0165067,0.965672
1.16192,0.0611428,0.184298,0.145983,0.046964,0.997707
1.16282,0.0586203,0.184226,0.145301,0.0475823,0.996344
1.16229,0.0599661,0.184444,0.143918,0.0467626,1.0022
1.16301,0.058257,0.184602,0.14412,0.0480255,0.996822
1.16301,0.0577076,0.184412,0.141569,0.0445069,0.994262
1.02492,0.0791954,0.364251,0.147037,0.149097,0.80958
1.02303,0.0804498,0.365628,0.148757,0.151613,0.805983
1.023,0.0805145,0.364953,0.149762,0.150258,0.806075
0.953523,0.175325,0.215876,0.243376,-0.0137855,0.797855
0.953969,0.174916,0.216718,0.242102,-0.013262,0.799609
0.869758,-0.0061027,0.167329,0.0603763,-0.0910537,0.742583
0.868231,-0.00295196,0.164545,0.0641014,-0.0945039,0.748266
1.01825,0.107075,0.255489,0.179339,0.0583044,0.846892
1.0199,0.10773,0.261017,0.180829,0.065482,0.841894
1.02155,0.105962,0.263577,0.179888,0.0680838,0.844249
1.02348,0.10464,0.264612,0.178164,0.069787,0.843878
1.02377,0.104482,0.264396,0.178542,0.0704324,0.843073
0.980355,0.0581496,0.251646,0.131036,0.0356481,0.814181
0.978767,0.0599265,0.249251,0.13022,0.0343289,0.817477
0.978187,0.0605017,0.248859,0.131828,0.0320343,0.81497
0.977053,0.0621421,0.249482,0.132901,0.0317582,0.815011
0.977254,0.0620518,0.2497,0.13334,0.0310722,0.814163
1.00943,0.0604239,0.220904,0.130777,0.019051,0.856057
1.01017,0.0588285,0.218621,0.131892,0.0170099,0.856769
1.01011,0.0585834,0.21957,0.130235,0.0157893,0.857348
1.01006,0.0577005,0.218254,0.130229,0.0154727,0.857278
1.02085,0.0739499,0.262598,0.150162,0.052156,0.848287
1.02066,0.0743254,0.261404,0.14987,0.0529354,0.849826
1.02077,0.0741971,0.261776,0.149879,0.0520093,0.851373
1.02069,0.0742491,0.260563,0.14943,0.0504962,0.849756
1.02015,0.0747662,0.259057,0.149557,0.0510299,0.851283
0.895723,0.171988,0.0301034,0.249939,-0.213366,0.829195
0.896369,0.171762,0.030932,0.250833,-0.212954,0.831751
0.895635,0.17217,0.0323278,0.25046,-0.212408,0.828518
0.894267,0.173352,0.0319788,0.250033,-0.210707,0.82659
0.9259,-0.000178128,-0.0020942,0.0770684,-0.229318,0.874882
0.924502,0.00419165,-0.00123277,0.0817675,-0.226677,0.873815
0.924507,0.00423731,-0.0014788,0.0862508,-0.226208,0.868781
0.925504,0.00309242,0.00046977,0.0824251,-0.227961,0.874732
0.926151,0.00202023,-0.000277106,0.0809978,-0.227841,0.874758
0.980174,-0.145028,-0.0297925,-0.067566,-0.228914,0.938766
0.980265,-0.143573,-0.0284208,-0.0625857,-0.228199,0.938244
0.979775,-0.143338,-0.0289839,-0.0620803,-0.227913,0.93747
0.978935,-0.141845,-0.029176,-0.0610965,-0.228074,0.936944
1.00473,-0.277217,0.00173223,-0.196567,-0.188093,0.950356
1.00483,-0.272666,0.00258568,-0.189833,-0.188627,0.94961
1.00434,-0.270818,0.00150895,-0.189595,-0.18886,0.950568
1.00375,-0.269211,0.00248327,-0.190157,-0.189578,0.950282
1.00385,-0.268442,0.00292889,-0.188471,-0.187807,0.949748
1.02804,-0.334751,0.0268879,-0.253155,-0.156155,0.962044
1.0286,-0.334782,0.0277024,-0.251962,-0.155526,0.962681
1.02809,-0.333063,0.0267362,-0.252967,-0.157419,0.966583
1.06533,-0.427199,0.106731,-0.37382,-0.0590756,0.965656
1.06487,-0.426402,0.105603,-0.346227,-0.0665438,0.959303
1.06503,-0.426832,0.104898,-0.345285,-0.069456,0.962279
1.06434,-0.425249,0.10396,-0.345218,-0.0698749,0.964115
